Employee_ID,Age,Gender,Department,Job_Role,Monthly_Salary,Years_at_Company,Job_Satisfaction,Attrition
1,22,Male,HR,Manager,25000,1,1,Yes
2,25,Female,Sales,Executive,30000,2,2,No
3,28,Male,IT,Engineer,45000,3,3,No
4,30,Female,Finance,Analyst,50000,5,4,Yes
5,35,Male,Marketing,Clerk,60000,7,5,No
6,40,Female,HR,Manager,70000,10,1,Yes
7,45,Male,Sales,Executive,80000,12,2,No
8,50,Female,IT,Engineer,90000,15,3,No
9,29,Male,Finance,Analyst,40000,4,4,Yes
10,31,Female,Marketing,Clerk,55000,6,5,No
11,22,Male,HR,Manager,25000,1,1,Yes
12,25,Female,Sales,Executive,30000,2,2,No
13,28,Male,IT,Engineer,45000,3,3,No
14,30,Female,Finance,Analyst,50000,5,4,Yes
15,35,Male,Marketing,Clerk,60000,7,5,No
16,40,Female,HR,Manager,70000,10,1,Yes
17,45,Male,Sales,Executive,80000,12,2,No
18,50,Female,IT,Engineer,90000,15,3,No
19,29,Male,Finance,Analyst,40000,4,4,Yes
20,31,Female,Marketing,Clerk,55000,6,5,No
21,22,Male,HR,Manager,25000,1,1,Yes
22,25,Female,Sales,Executive,30000,2,2,No
23,28,Male,IT,Engineer,45000,3,3,No
24,30,Female,Finance,Analyst,50000,5,4,Yes
25,35,Male,Marketing,Clerk,60000,7,5,No
26,40,Female,HR,Manager,70000,10,1,Yes
27,45,Male,Sales,Executive,80000,12,2,No
28,50,Female,IT,Engineer,90000,15,3,No
29,29,Male,Finance,Analyst,40000,4,4,Yes
30,31,Female,Marketing,Clerk,55000,6,5,No
31,22,Male,HR,Manager,25000,1,1,Yes
32,25,Female,Sales,Executive,30000,2,2,No
33,28,Male,IT,Engineer,45000,3,3,No
34,30,Female,Finance,Analyst,50000,5,4,Yes
35,35,Male,Marketing,Clerk,60000,7,5,No
36,40,Female,HR,Manager,70000,10,1,Yes
37,45,Male,Sales,Executive,80000,12,2,No
38,50,Female,IT,Engineer,90000,15,3,No
39,29,Male,Finance,Analyst,40000,4,4,Yes
40,31,Female,Marketing,Clerk,55000,6,5,No
41,22,Male,HR,Manager,25000,1,1,Yes
42,25,Female,Sales,Executive,30000,2,2,No
43,28,Male,IT,Engineer,45000,3,3,No
44,30,Female,Finance,Analyst,50000,5,4,Yes
45,35,Male,Marketing,Clerk,60000,7,5,No
46,40,Female,HR,Manager,70000,10,1,Yes
47,45,Male,Sales,Executive,80000,12,2,No
48,50,Female,IT,Engineer,90000,15,3,No
49,29,Male,Finance,Analyst,40000,4,4,Yes
50,31,Female,Marketing,Clerk,55000,6,5,No
